Cameron Brate,67.1
Terrace Marshall Jr.,65.8
Dontrell Hilliard,65.5
David Bell,65.1
Sony Michel,64.4
Jauan Jennings,63.6
Amari Rodgers,62.4
Paul Quessenberry,61.9
Wan'Dale Robinson,61.7
Velus Jones Jr.,61.1
KJ Hamler,60.6
Samaje Perine,60.4
Harrison Bryant,60.4
D'Onta Foreman,59.8
Jonnu Smith,59.7
Matt Breida,58.7
Quez Watkins,58.7
Jalen Guyton,58.5
Jeremiah Hall,58.3
Dan Arnold,57.5
Tyler Conklin,56.9
Darius Slayton,56.4
Zamir White,56.3
Isaiah McKenzie,56.3
Boston Scott,55.3
Dee Eskridge,55.2
Tommy Tremble,54.7
Ricky Seals-Jones,53.4
Foster Moreau,53.3
Romeo Doubs,53.3
Freddie Swain,52.6
Chuba Hubbard,51.1
Demarcus Robinson,50.7
Geoff Swaim,50.4
Keelan Cole Sr.,48.5
Hassan Haskins,47.4
Marquez Callaway,47
O.J. Howard,46.3
Kyle Juszczyk,45.7
Anthony Firkser,45.6
James O'Shaughnessy,45.2
Jelani Woods,44.9
Donald Parham Jr.,44.2
Justin Jackson,43.9
Noah Brown,43.2
James Proche II,43
Pharaoh Brown,41.9
Phillip Dorsett II,40.6
Tylan Wallace,40
Josh Reynolds,39.9
Cade Otton,39.8
Rashard Higgins,39.7
Taysom Hill,39.4
Durham Smythe,39.2
D'Ernest Johnson,39.1
Ke'Shawn Vaughn,38.5
Chris Evans,38.5
Kylen Granson,38.3
Ryan Nall,38.2
Anthony Schwartz,38.1
Josiah Deguara,37.8
Ameer Abdullah,37.6
Andrew Beck,37
Phillip Lindsay,37
Keke Coutee,36.9
Jordan Akins,36.7
Jeff Wilson Jr.,36.7
Jaylon Moore,36.6
Sam Darnold,36.5
Brandon Bolden,36.1
Chester Rogers,35.9
Craig Reynolds,34.6
John Bates,34.5
Calvin Austin III,34.1
Giovani Bernard,33.8
Ian Thomas,33.5
Quintez Cephus,33
Eno Benjamin,32.9
Cam Sims,32.9
Tevin Coleman,32.9
Ben Skowronek,32.6
Trey McBride,32.6
Marcedes Lewis,32.5
Tyrion Davis-Price,32.5
Greg Dulcich,32.1
N'Keal Harry,32.1
Ja'Marcus Bradley,31.7
Will Dissly,31.6
Damiere Byrd,31.5
Charlie Kolar,30.9
Jaret Patterson,30.7
Travis Homer,30.4
Kendall Blanton,30.4
Dyami Brown,29.8
Duke Johnson Jr.,29.7
Mike Davis,29.3
Dez Fitzpatrick,29.2
Kalif Raymond,29.2
Chris Moore,28.6
Nick Boyle,28.2
Benny Snell Jr.,28.2
Chad Beebe,28.2
Joshua Kelley,28.1
Zach Davidson,27.8
Equanimeous St. Brown,27.7
Jamal Agnew,27.4
Zach Pascal,27.3
Andy Dalton,27.1
Daniel Bellinger,26.8
Maxx Williams,26.7
Matt Bushman,26.6
Antoine Wesley,26.4
Anthony Miller,26.1
Erik Ezukanma,26.1
Laquon Treadwell,26.1
Ray-Ray McCloud,25.7
Zack Moss,25.7
Jermar Jefferson,25.6
Jake Ferguson,25.4
Jacob Harris,25.2
Kyle Markway,25.2
Myles Gaskin,25
Ihmir Smith-Marsette,24.7
Nick Eubanks,24.5
Cody Hollister,24.5
Trey Sermon,24.4
Ryan Griffin,24.3
Shaun Beyer,24.2
Alize Mack,24.2
Tyler Kroft,23.7
Breshad Perriman,23.6
DeeJay Dallas,23.2
Lynn Bowden Jr.,23.2
J.J. Taylor,23.1
Ashton Dulin,22.6
Drew Sample,22.5
Javon Wims,22.3
Kenny Yeboah,22
Dazz Newsome,21.9
Zach Gentry,21.7
Connor Heyward,21.6
Brock Wright,21.6
Matt Sokol,21.5
Noah Gray,21
Royce Freeman,20.8
Rysen John,20.8
Gary Brightwell,20.7
Mason Rudolph,20.4
Mason Schreck,20.3
Josh Oliver,20.2
Justice Hill,20.1
Pierre Strong Jr.,20.1
Tutu Atwell,20
Brandon Zylstra,20
Blake Bell,20
Tony Jones Jr.,19.9
Ty Montgomery,19.7
Jimmy Garoppolo,19.7
Tyler Johnson,19.6
Taysom Hill,19.6
Demetric Felton Jr.,19.5
Tyrod Taylor,19.5
Tyler Huntley,19.4
Patrick Ricard,19.1
Trent Sherfield,19.1
Albert Wilson,19
Dare Ogunbowale,18.5
Tyquan Thornton,18.4
Nick Vannett,18.2
Ko Kieft,17.9
Kene Nwangwu,17.9
Tyler Badie,17.8
Richard Rodgers,17.6
Miles Boykin,17.4
Anthony McFarland Jr.,17.4
Jakeem Grant Sr.,17.3
Keaontay Ingram,17.1
Marcus Johnson,17.1
Richie James Jr.,16.8
Dominique Dafney,16.7
C.J. Ham,16.6
Kyren Williams,16.6
Stephen Anderson,16.5
Darwin Thompson,16.4
Mike Boone,16.4
Chigoziem Okonkwo,16.4
Tory Carter,16.4
Khalil Shakir,16.3
Darrynton Evans,16.1
Jeremy Sprinkle,16
Ty Chandler,16
Kevin Harris,15.9
Cole Turner,15.9
Jacob Hollister,15.8
Samori Toure,15.8
Juwann Winfree,15.6
Danny Gray,15.6
Jody Fortson,15.6
Ross Dwelley,15.5
Jeremy McNichols,15.3
Kevin Rader,15.3
Chris Manhertz,15.3
Teddy Bridgewater,15.3
Penny Hart,15.2
Jeff Smith,15.2
Luke Farrell,15.1
Jalen Reagor,15
Nakia Griffin-Stewart,14.8
JaMycal Hasty,14.8
Trevor Siemian,14.8
Gardner Minshew II,14.8
Jerome Ford,14.6
Sean McKeon,14.4
Preston Williams,14.4
Isaiah Ford,14.3
Kristian Wilkerson,14.3
Isaiah Likely,14.2
Brycen Hopkins,14.2
Keelan Doss,14.1
Jeremy Ruckert,14.1
Mekhi Sargent,14.1
Adam Shaheen,14.1
Jesper Horsted,14
Nick Muse,14
Grant Calcaterra,13.9
Kyle Philips,13.8
Josh Malone,13.7
Tyree Jackson,13.6
Trey Quinn,13.6
Simi Fehoko,13.5
Deonte Harty,13.3
Colby Parkinson,13.3
Kyle Allen,13.3
Keith Smith,13.2
Juwan Johnson,13
Kyle Phillips,12.9
Tre'Quan Smith,12.9
Taylor Heinicke,12.9
Dezmon Patmon,12.7
Antony Auclair,12.6
Joe Flacco,12.6
Tre' McKitty,12.5
T.J. Vasher,12.5
Tajae Sharpe,12.5
Ty'Son Williams,12.5
Qadree Ollison,12.4
Jordan Wilkins,12.3
Malcolm Brown,12.1
Eric Tomlinson,12
Ben Ellefson,11.9
Racey McMath,11.9
Johnny Mundt,11.8
Jordan Love,11.8
David Moore,11.7
Dwayne Washington,11.7
Cooper Rush,11.7
Auden Tate,11.6
Derrick Gore,11.6
DeAndre Carter,11.6
Jake Funk,11.5
Andy Janovich,11.4
Larry Rountree III,11.3
Trenton Cannon,11.3
Colt McCoy,11.3
Snoop Conner,11.2
Greg Ward,11.2
Tommy Hudson,11
Kylin Hill,10.9
Marquise Goodwin,10.8
Rico Dowdle,10.7
Mike Strachan,10.7
Andre Roberts,10.5
Malik Willis,10.5
Mohamed Sanu Sr.,10.4
Corey Clement,10.4
Brian Hoyer,10.3
Mack Hollins,10.2
Trent Taylor,10.2
Tyron Johnson,10.2
Isaiah Coulter,10.1
Mike Thomas,10
Isiah Pacheco,9.9
Blaine Gabbert,9.8
Josh Johnson,9.8
Malik Turner,9.7
Kyle Trask,9.7
Devin Asiasi,9.4
Nsimba Webster,9.4
KhaDarel Hodge,9.4
C.J. Beathard,9.4
Case Keenum,9.4
Alec Ingold,9.3
Jack Stoll,9.2
Travis Fulgham,9.1
Cyril Grayson Jr.,9.1
Devine Ozigbo,9
Trestan Ebner,8.8
Ryquell Armstead,8.8
Tyrie Cleveland,8.8
Giovanni Ricci,8.8
Alex Armah Jr.,8.7
Stanley Morgan Jr.,8.7
Ty Johnson,8.7
Tim Boyle,8.6
Sean Mannion,8.5
Jason Cabinda,8.4
La'Mical Perine,8.4
Jarrett Stidham,8.4
John Wolford,8.4
Jaelon Darden,8.3
Jake Kumerow,8.3
Nick Bowers,8.3
Brandon Allen,8.3
Parker Hesse,8.2
Jace Sternberger,8.2
Brett Rypien,8.2
Bisi Johnson,8.1
Greg Dortch,8.1
Hunter Kampmoyer,8.1
Malik Taylor,8.1
Nick Foles,8.1
Corey Coleman,8
Eric Saubert,8
Matt Corral,8
Marquez Stevenson,7.9
Khari Blasingame,7.8
Teagan Quitoriano,7.7
Michael Burton,7.7
Jakob Johnson,7.7
Trenton Irwin,7.6
Derek Watt,7.6
Chase Daniel,7.6
Reggie Gilliam,7.5
Jalen Nailor,7.5
Lil'Jordan Humphrey,7.5
C.J. Board,7.5
Garrett Griffin,7.5
Johnny Stanton IV,7.3
Matthew Slater,7.1
Charlie Woerner,7
Shi Smith,7
Chad Henne,7
Steven Sims Jr.,6.9
Miller Forristall,6.9
Deon Jackson,6.9
Tyler Mabry,6.8
Collin Johnson,6.7
David Sills V,6.7
Denzel Mims,6.6
Dante Pettis,6.6
KeeSean Johnson,6.6
Nick Bawden,6.6
Daurice Fountain,6.6
J.J. Arcega-Whiteside,6.5
Justin Watson,6.4
Patrick Taylor Jr.,6.4
Jason Moore Jr.,6.3
Cameron Batson,6.2
Geronimo Allison,6.2
Joshua Dobbs,6.2
Cody Thompson,6.1
Adam Prentice,5.9
Scotty Miller,5.7
Nate Sudfeld,5.7
Andy Isabella,5.6
Trayveon Williams,5.5
Nick Mullens,5.5
Easop Winston Jr.,5.3
Seth Williams,5.2
Trinity Benson,5.2
Antonio Williams,5.1
Dax Milne,4.9
Bo Melton,4.9
Brandon Powell,4.6
Mike White,4.6
Godwin Igwebuike,4.5
Jason Huntley,4.3
Kellen Mond,4.3
Nathan Peterman,4.2
Joe Reed,4.1
Hunter Long,4
John Lovett,4
Tommy Sweeney,3.7
Mitchell Wilcox,3.7
James Mitchell,3.6
Tre Nixon,3.5
Andrew Ogletree,3.5
Stephen Sullivan,3.5
Josh Gordon,3.5
Gabe Nabers,3.4
Sam Howell,3.3
John FitzPatrick,3.2
Frank Darby,3.1
Kendall Hinton,3
